cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
1303728,REVIEW,canonical,1303728,summary;headmatter,5070
1304346,KEEP,canonical,1304346,summary;headmatter,1606
1304349,REVIEW,canonical,1304349,summary;headmatter,6371
1306761,KEEP,canonical,1306761,summary;headmatter,1800
1390946,KEEP,canonical,1390946,headnotes;summary;headmatter;arguments,36255
1394575,KEEP,duplicate,1394601,headnotes;summary;headmatter;arguments,16464
1394601,KEEP,canonical,1394601,headnotes;summary;headmatter;arguments,40892
1394610,KEEP,duplicate,1394601,headnotes;summary;headmatter;arguments,60919
1655414,KEEP,canonical,1655414,headnotes;summary;headmatter,3622
2095284,KEEP,canonical,2095284,summary;headmatter,2528
2096950,KEEP,canonical,2096950,summary;headmatter,9378
2160646,KEEP,canonical,2160646,summary;headmatter,61750
2215103,KEEP,canonical,2215103,summary;headmatter,1785
2216108,KEEP,canonical,2216108,summary;headmatter,69961
2217721,KEEP,canonical,2217721,summary;headmatter,2760
2219105,KEEP,canonical,2219105,summary;headmatter,1341
2220732,KEEP,canonical,2220732,summary;headmatter,13358
2223136,REVIEW,canonical,2223136,summary;headmatter,23633
2224796,KEEP,canonical,2224796,summary;headmatter,6218
2225264,KEEP,canonical,2225264,summary;headmatter,52934
2228460,REVIEW,canonical,2228460,summary;headmatter,22112
2229179,KEEP,canonical,2229179,summary;headmatter,126661
2229888,KEEP,canonical,2229888,summary;headmatter,3062
2230740,KEEP,canonical,2230740,summary;headmatter,104208
2233860,REVIEW,canonical,2233860,summary;headmatter,1352
2273280,KEEP,canonical,2273280,summary;headmatter,13398
2346358,KEEP,canonical,2346358,summary;headmatter,38103
2347065,KEEP,canonical,2347065,summary;headmatter,2415
2351149,KEEP,canonical,2351149,summary;headmatter,137975
2419163,KEEP,canonical,2419163,headnotes;summary;headmatter,1204
2490086,KEEP,duplicate,85025,headnotes;summary;headmatter,4797
2490089,KEEP,canonical,2490089,headnotes;summary;headmatter,1338
